line_number,book_number,original_text,verse_normalized,verse_syllabified
1,1,"Sage mir, Muse, die Taten des vielgewanderten Mannes,",sage mir muse die taten des vielgewanderten mannes,sa|ge|mir|mu|se|die|ta|ten|des|viel|ge|wan|der|ten|man|nes
2,1,"Welcher so weit geirrt, nach der heiligen Troja Zerstörung,",welcher so weit geirrt nach der heiligen troja zerstörung,wel|cher|so|weit|ge|irrt|nach|der|hei|li|gen|tro|ja|zer|stö|rung
3,1,"Vieler Menschen Städte gesehn, und Sitte gelernt hat,",vieler menschen städte gesehn und sitte gelernt hat,vie|ler|men|schen|städ|te|ge|sehn|und|sit|te|ge|lernt|hat
4,1,"Und auf dem Meere so viel' unnennbare Leiden erduldet,",und auf dem meere so viel' unnennbare leiden erduldet,und|auf|dem|mee|re|so|viel'|un|nenn|ba|re|lei|den|er|dul|det
5,1,"Seine Seele zu retten, und seiner Freunde Zurückkunft.",seine seele zu retten und seiner freunde zurückkunft,sei|ne|see|le|zu|ret|ten|und|sei|ner|freun|de|zu|rück|kunft
6,1,"Aber die Freunde rettet' er nicht, wie eifrig er strebte,",aber die freunde rettet' er nicht wie eifrig er strebte,a|ber|die|freun|de|ret|tet'|er|nicht|wie|eif|rig|er|streb|te
7,1,Denn sie bereiteten selbst durch Missetat ihr Verderben:,denn sie bereiteten selbst durch missetat ihr verderben,denn|sie|be|rei|te|ten|selbst|durch|miss|e|tat|ihr|ver|der|ben
8,1,Toren! welche die Rinder des hohen Sonnenbeherrschers,toren welche die rinder des hohen sonnenbeherrschers,to|ren|wel|che|die|rin|der|des|ho|hen|son|nen|be|herr|schers
9,1,"Schlachteten; siehe, der Gott nahm ihnen den Tag der Zurückkunft,",schlachteten siehe der gott nahm ihnen den tag der zurückkunft,schlach|te|ten|sie|he|der|gott|nahm|ih|nen|den|tag|der|zu|rück|kunft
10,1,"Sage hievon auch uns ein weniges, Tochter Kronions.",sage hievon auch uns ein weniges tochter kronions,sa|ge|hie|von|auch|uns|ein|we|ni|ges|toch|ter|kro|ni|ons
11,1,"Alle die andern, so viel dem verderbenden Schicksal entflohen,",alle die andern so viel dem verderbenden schicksal entflohen,al|le|die|an|dern|so|viel|dem|ver|der|ben|den|schick|sal|ent|flo|hen
12,1,"Waren jetzo daheim, dem Krieg' entflohn und dem Meere:",waren jetzo daheim dem krieg' entflohn und dem meere,wa|ren|jet|zo|da|heim|dem|krieg'|ent|flohn|und|dem|mee|re
13,1,"Ihn allein, der so herzlich zur Heimat und Gattin sich sehnte,",ihn allein der so herzlich zur heimat und gattin sich sehnte,ihn|al|lein|der|so|herz|lich|zur|hei|mat|und|gat|tin|sich|sehn|te
14,1,"Hielt die unsterbliche Nymphe, die hehre Göttin Kalypso,",hielt die unsterbliche nymphe die hehre göttin kalypso,hielt|die|un|sterb|li|che|nym|phe|die|heh|re|göt|tin|ka|lyp|so
15,1,"In der gewölbeten Grotte, und wünschte sich ihn zum Gemahle.",in der gewölbeten grotte und wünschte sich ihn zum gemahle,in|der|ge|wöl|be|ten|grot|te|und|wünsch|te|sich|ihn|zum|ge|mah|le
16,1,"Selbst da das Jahr nun kam im kreisenden Laufe der Zeiten,",selbst da das jahr nun kam im kreisenden laufe der zeiten,selbst|da|das|jahr|nun|kam|im|krei|sen|den|lau|fe|der|zei|ten
17,1,"Da ihm die Götter bestimmt, gen Ithaka wiederzukehren;",da ihm die götter bestimmt gen ithaka wiederzukehren,da|ihm|die|göt|ter|be|stimmt|gen|i|tha|ka|wie|der|zu|keh|ren
18,1,"Hatte der Held noch nicht vollendet die müdende Laufbahn,",hatte der held noch nicht vollendet die müdende laufbahn,hat|te|der|held|noch|nicht|voll|en|det|die|mü|den|de|lauf|bahn
19,1,Auch bei den Seinigen nicht. Es jammerte seiner die Götter;,auch bei den seinigen nicht es jammerte seiner die götter,auch|bei|den|sei|ni|gen|nicht|es|jam|mer|te|sei|ner|die|göt|ter
20,1,Nur Poseidon zürnte dem göttergleichen Odysseus,nur poseidon zürnte dem göttergleichen odysseus,nur|po|sei|don|zürn|te|dem|göt|ter|glei|chen|o|dys|seus
21,1,"Unablässig, bevor er sein Vaterland wieder erreichte.",unablässig bevor er sein vaterland wieder erreichte,un|ab|läs|sig|be|vor|er|sein|va|ter|land|wie|der|er|reich|te
22,1,Dieser war jetzo fern zu den Äthiopen gegangen;,dieser war jetzo fern zu den äthiopen gegangen,die|ser|war|jet|zo|fern|zu|den|ä|thi|o|pen|ge|gan|gen
23,1,"Äthiopen, die zwiefach geteilt sind, die äußersten Menschen,",äthiopen die zwiefach geteilt sind die äußersten menschen,ä|thi|o|pen|die|zwie|fach|ge|teilt|sind|die|äu|ßers|ten|men|schen
24,1,"Gegen den Untergang der Sonnen, und gegen den Aufgang:",gegen den untergang der sonnen und gegen den aufgang,ge|gen|den|un|ter|gang|der|son|nen|und|ge|gen|den|auf|gang
25,1,Welche die Hekatombe der Stier' und Widder ihm brachten.,welche die hekatombe der stier' und widder ihm brachten,wel|che|die|he|ka|tom|be|der|stier'|und|wid|der|ihm|brach|ten
26,1,"Allda saß er, des Mahls sich freuend. Die übrigen Götter",allda saß er des mahls sich freuend die übrigen götter,all|da|saß|er|des|mahls|sich|freu|end|die|üb|ri|gen|göt|ter
27,1,Waren alle in Zeus' des Olympiers Hause versammelt.,waren alle in zeus' des olympiers hause versammelt,wa|ren|al|le|in|zeus'|des|olym|pi|ers|hau|se|ver|sam|melt
28,1,Unter ihnen begann der Vater der Menschen und Götter;,unter ihnen begann der vater der menschen und götter,un|ter|ih|nen|be|gann|der|va|ter|der|men|schen|und|göt|ter
29,1,"Denn er gedachte bei sich des tadellosen Ägisthos,",denn er gedachte bei sich des tadellosen ägisthos,denn|er|ge|dach|te|bei|sich|des|ta|del|lo|sen|ägist|hos
30,1,"Den Agamemnons Sohn, der berühmte Orestes, getötet;",den agamemnons sohn der berühmte orestes getötet,den|a|ga|mem|nons|sohn|der|be|rühm|te|o|res|tes|ge|tö|tet
31,1,"Dessen gedacht' er jetzo, und sprach zu der Götter Versammlung:",dessen gedacht' er jetzo und sprach zu der götter versammlung,des|sen|ge|dacht'|er|jet|zo|und|sprach|zu|der|göt|ter|ver|samm|lung
32,1,Welche Klagen erheben die Sterblichen wider die Götter!,welche klagen erheben die sterblichen wider die götter,wel|che|kla|gen|er|he|ben|die|sterb|li|chen|wi|der|die|göt|ter
33,1,"Nur von uns, wie sie schrein, kommt alles Übel; und dennoch",nur von uns wie sie schrein kommt alles übel und dennoch,nur|von|uns|wie|sie|schrein|kommt|al|les|ü|bel|und|den|noch
34,1,"Schaffen die Toren sich selbst, dem Schicksal entgegen, ihr Elend.",schaffen die toren sich selbst dem schicksal entgegen ihr elend,schaf|fen|die|to|ren|sich|selbst|dem|schick|sal|ent|ge|gen|ihr|e|lend
35,1,"So nahm jetzo Ägisthos, dem Schicksal entgegen, die Gattin",so nahm jetzo ägisthos dem schicksal entgegen die gattin,so|nahm|jet|zo|ägist|hos|dem|schick|sal|ent|ge|gen|die|gat|tin
36,1,"Agamemnons zum Weib', und erschlug den kehrenden Sieger,",agamemnons zum weib' und erschlug den kehrenden sieger,a|ga|mem|nons|zum|weib'|und|er|schlug|den|keh|ren|den|sie|ger
37,1,"Kundig des schweren Gerichts! Wir hatten ihn lange gewarnet,",kundig des schweren gerichts wir hatten ihn lange gewarnet,kun|dig|des|schwe|ren|ge|richts|wir|hat|ten|ihn|lan|ge|ge|war|net
38,1,"Da wir ihm Hermes sandten, den wachsamen Argosbesieger,",da wir ihm hermes sandten den wachsamen argosbesieger,da|wir|ihm|her|mes|sand|ten|den|wach|sa|men|ar|gos|be|sie|ger
39,1,"Weder jenen zu töten, noch um die Gattin zu werben.",weder jenen zu töten noch um die gattin zu werben,we|der|je|nen|zu|tö|ten|noch|um|die|gat|tin|zu|wer|ben
40,1,"Denn von Orestes wird einst das Blut Agamemnons gerochen,",denn von orestes wird einst das blut agamemnons gerochen,denn|von|o|res|tes|wird|einst|das|blut|a|ga|mem|nons|ge|ro|chen
41,1,"Wann er, ein Jüngling nun, des Vaters Erbe verlanget.",wann er ein jüngling nun des vaters erbe verlanget,wann|er|ein|jüng|ling|nun|des|va|ters|er|be|ver|lan|get
42,1,So weissagte Hermeias; doch folgte dem heilsamen Rate,so weissagte hermeias doch folgte dem heilsamen rate,so|weis|sag|te|her|mei|as|doch|folg|te|dem|heil|sa|men|ra|te
43,1,"Nicht Ägisthos, und jetzt hat er alles auf einmal gebüßet.",nicht ägisthos und jetzt hat er alles auf einmal gebüßet,nicht|ägist|hos|und|jetzt|hat|er|al|les|auf|ein|mal|ge|bü|ßet
44,1,Drauf antwortete Zeus' blauäugige Tochter Athene:,drauf antwortete zeus' blauäugige tochter athene,drauf|ant|wor|te|te|zeus'|blau|äu|gi|ge|toch|ter|a|the|ne
45,1,"Unser Vater Kronion, der herrschenden Könige Herrscher,",unser vater kronion der herrschenden könige herrscher,un|ser|va|ter|kro|ni|on|der|herr|schen|den|kö|ni|ge|herr|scher
46,1,Seiner verschuldeten Strafe ist jener Verräter gefallen.,seiner verschuldeten strafe ist jener verräter gefallen,sei|ner|ver|schul|de|ten|stra|fe|ist|je|ner|ver|rä|ter|ge|fal|len
47,1,"Möchte doch jeder so fallen, wer solche Taten beginnet!",möchte doch jeder so fallen wer solche taten beginnet,möch|te|doch|je|der|so|fal|len|wer|sol|che|ta|ten|be|gin|net
48,1,Aber mich kränkt in der Seele des weisen Helden Odysseus,aber mich kränkt in der seele des weisen helden odysseus,a|ber|mich|kränkt|in|der|see|le|des|wei|sen|hel|den|o|dys|seus
49,1,"Elend, welcher so lang', entfernt von den Seinen, sich abhärmt,",elend welcher so lang' entfernt von den seinen sich abhärmt,e|lend|wel|cher|so|lang'|ent|fernt|von|den|sei|nen|sich|ab|härmt
50,1,"Auf der umflossenen Insel, der Mitte des wogenden Meeres.",auf der umflossenen insel der mitte des wogenden meeres,auf|der|um|flos|se|nen|in|sel|der|mit|te|des|wo|gen|den|mee|res
51,1,"Eine Göttin bewohnt das waldumschattete Eiland,",eine göttin bewohnt das waldumschattete eiland,ei|ne|göt|tin|be|wohnt|das|wal|dum|schat|te|te|ei|land
52,1,"Atlas' Tochter, des Allerforschenden, welcher des Meeres",atlas' tochter des allerforschenden welcher des meeres,at|las'|toch|ter|des|al|ler|for|schen|den|wel|cher|des|mee|res
53,1,"Dunkle Tiefen kennt, und selbst die ragenden Säulen",dunkle tiefen kennt und selbst die ragenden säulen,dunk|le|tie|fen|kennt|und|selbst|die|ra|gen|den|säu|len
54,1,"Aufhebt, welche die Erde vom hohen Himmel sondern.",aufhebt welche die erde vom hohen himmel sondern,auf|hebt|wel|che|die|er|de|vom|ho|hen|him|mel|son|dern
